,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,1952109,1689643741.166664823,2615,24,51,509000,510000
0,1960395,1689643750.914485316,4938,56,23,890000,891000
0,1972525,1689643764.134556251,3035,41,9,3255000,3260000
0,1972842,1689643764.511889493,3035,45,6,3255000,3260000
0,1974184,1689643766.039687403,3035,53,21,3255000,3265000
0,1986133,1689643780.104968096,3035,19,8,3255000,3260000
0,1988877,1689643783.261559472,2634,370,1,541000,542000
0,2021570,1689643815.473127806,6213,3,1,764000,765000
0,2041680,1689643836.369158338,2323,1138,334,145000,146000
0,2044754,1689643839.156297197,2634,381,54,541000,543000
0,2074324,1689643869.302463731,2368,93,51,1775000,1780000
0,2083990,1689643879.752826451,1301,22,72,834000,836000
0,2095607,1689643893.236537515,3006,16,4,785000,786000
0,2104167,1689643902.478637099,2481,65,1,825000,826000
0,2107653,1689643905.843055623,3035,1,52,3275000,3280000
0,2108710,1689643907.034595765,3006,11,2,785000,786000
0,2125657,1689643924.454917812,2615,11,19,508000,509000
0,2131886,1689643931.339983173,2615,3,20,508000,509000
0,2150245,1689643951.223260403,2401,30,5,301000,301500
0,2179876,1689643986.045206231,3035,70,34,3275000,3285000
0,2187539,1689643994.774345494,2615,4,19,508000,509000
0,2197925,1689644006.884462500,2376,25,33,3005000,3015000
0,2196903,1689644005.680133266,2634,30,56,542000,543000
0,2203415,1689644013.068337432,2634,28,54,542000,543000
0,2204057,1689644013.726114201,2634,28,52,542000,543000
0,2206556,1689644016.747542662,2481,63,22,822000,823000
0,2212098,1689644023.557391810,2313,50,24,482500,483000
0,2217860,1689644031.331630931,3035,38,16,3260000,3265000
0,2222770,1689644037.768624170,2615,2,19,508000,509000
0,2231105,1689644047.133226208,2634,50,52,542000,543000
0,2231408,1689644047.424949638,2634,35,47,542000,543000
0,2233643,1689644049.990791125,2634,39,39,542000,543000
0,2236929,1689644053.386015992,2634,39,17,542000,543000
0,2238674,1689644055.537312172,2634,40,10,542000,543000
0,2240292,1689644057.667258177,2634,2,67,543000,544000
0,2239991,1689644057.289261190,3017,6,21,2890000,2895000
0,2240384,1689644057.769454234,2634,49,14,542000,543000
0,2250855,1689644070.882026114,2376,40,11,3010000,3015000
0,2254371,1689644075.153262204,3035,10,63,3245000,3250000
0,2265436,1689644089.625642307,2634,55,16,542000,543000
0,2271411,1689644097.362508868,4938,13,19,883000,886000
0,2282627,1689644109.003886861,2634,41,13,542000,543000
0,2292162,1689644121.244018058,3035,12,35,3235000,3240000
0,2313699,1689644150.473396431,2376,13,21,3010000,3015000
0,2313766,1689644150.540953662,2376,13,27,3010000,3015000
0,2315011,1689644151.966261329,2376,7,15,3005000,3010000
0,2344496,1689644180.531416054,4938,32,7,875000,878000
0,2351083,1689644188.297704098,2481,23,33,818000,820000
0,2352047,1689644189.329835229,2615,1,19,510000,511000
0,2352940,1689644190.371981148,5388,140,92,1145000,1155000
0,2357648,1689644195.385675790,3019,1,1,673000,675000
0,2370384,1689644209.308008121,3035,50,17,3230000,3235000
0,2374326,1689644214.023622428,3035,40,24,3230000,3235000
0,2381248,1689644221.071893091,2615,1,46,512000,513000
0,2381845,1689644221.630984018,6213,23,6,758000,759000
0,2384698,1689644224.434121271,3035,37,28,3220000,3230000
0,2393745,1689644233.741243126,4938,53,27,870000,871000
0,2394086,1689644234.145509550,3035,2,21,3220000,3225000
0,2401386,1689644241.372854333,2615,23,41,511000,513000
0,2426836,1689644264.545429060,2615,23,3,511000,512000
0,2431841,1689644268.985813500,4938,2,53,863000,865000
0,2436986,1689644273.724296457,4938,73,22,862000,864000
0,2444628,1689644280.879605999,6213,1,1,756000,757000
0,2446297,1689644282.132895288,6213,13,1,755000,757000
0,2453513,1689644289.085834357,2368,1,24,1765000,1770000
0,2463653,1689644297.663155903,4938,19,21,856000,859000
0,2465215,1689644299.356670186,2368,20,23,1765000,1770000
0,2501572,1689644330.206309007,3673,35,10,411500,412000
0,2506432,1689644333.991964583,3035,13,31,3205000,3215000
0,2507325,1689644334.613350596,3035,3,7,3205000,3215000
0,2510899,1689644337.400724254,3035,4,3,3205000,3210000
0,2526979,1689644349.833369911,2449,30,19,648000,649000
0,2530890,1689644353.229873087,4938,28,223,857000,860000
0,2537203,1689644358.508550232,3035,3,25,3205000,3210000
0,2539340,1689644360.523795403,3034,4,10,4115000,4120000
0,2550990,1689644370.775161974,3714,29,15,499000,500000
0,2554866,1689644374.005303528,3035,20,38,3190000,3195000
0,2564878,1689644383.517160223,3035,37,7,3180000,3190000
0,2572919,1689644390.544299046,3706,8,1,554000,560000
0,2572919,1689644390.544299046,3706,8,1,554000,560000
0,2572919,1689644390.544299046,3706,8,1,554000,560000
0,2573295,1689644390.808015949,3035,4,11,3180000,3185000
0,2573642,1689644391.029318761,3035,2,12,3180000,3185000
0,2574974,1689644391.948936172,3035,21,2,3175000,3180000
